TestID,Category,Nodes,Time_Exact,Time_Approx,Time_Greedy,Sol_Exact,Sol_Approx,Sol_Greedy
T01_Dense_10,Dense,10,0.000033,0.011595,0.000377,8,10,8
T02_Dense_20,Dense,20,0.018375,0.004966,0.000346,17,20,17
T03_Dense_30,Dense,30,21.240316,0.002632,0.000341,26,30,26
T04_Dense_50,Dense,50,N/A,0.002037,0.000738,N/A,50,46
T05_Dense_100,Dense,100,N/A,0.001659,0.000802,N/A,100,96
T06_Dense_200,Dense,200,N/A,0.002972,0.003931,N/A,198,196
T07_Dense_300,Dense,300,N/A,0.003087,0.010798,N/A,300,296
T08_Dense_400,Dense,400,N/A,0.002239,0.024568,N/A,400,394
T09_Dense_500,Dense,500,N/A,0.001925,0.050971,N/A,500,495
T10_Dense_600,Dense,600,N/A,0.001968,0.089950,N/A,598,595
T11_Dense_700,Dense,700,N/A,0.001935,0.148472,N/A,698,694
T12_Dense_800,Dense,800,N/A,0.002303,0.235740,N/A,800,794
T13_Dense_1000,Dense,1000,N/A,0.001367,0.474717,N/A,1000,995
T14_Dense_1100,Dense,1100,N/A,0.001238,0.691203,N/A,1100,1095
T15_Dense_1200,Dense,1200,N/A,0.001672,0.931639,N/A,1200,1195
T16_Sparse_10,Sparse,10,0.000010,0.003355,0.000528,3,6,3
T17_Sparse_20,Sparse,20,0.010216,0.001498,0.000338,10,18,11
T18_Sparse_30,Sparse,30,8.564131,0.002683,0.000338,20,28,21
T19_Sparse_50,Sparse,50,N/A,0.001954,0.000669,N/A,46,37
T20_Sparse_100,Sparse,100,N/A,0.002272,0.001099,N/A,82,58
T21_Sparse_200,Sparse,200,N/A,0.003532,0.004404,N/A,194,145
T22_Sparse_300,Sparse,300,N/A,0.002474,0.024962,N/A,290,235
T23_Sparse_400,Sparse,400,N/A,0.001981,0.025871,N/A,384,327
T24_Sparse_500,Sparse,500,N/A,0.002196,0.051814,N/A,490,425
T25_Sparse_600,Sparse,600,N/A,0.001540,0.094046,N/A,594,518
T26_Sparse_700,Sparse,700,N/A,0.003837,0.159626,N/A,686,610
T27_Sparse_800,Sparse,800,N/A,0.001618,0.222508,N/A,782,712
T28_Sparse_1000,Sparse,1000,N/A,0.001455,0.507508,N/A,984,912
T29_Sparse_1100,Sparse,1100,N/A,0.001488,0.669193,N/A,1084,1011
T30_Sparse_1200,Sparse,1200,N/A,0.001400,0.894022,N/A,1190,1110
T31_Bipartit_10,Bipartit,10,0.000016,0.001963,0.000447,5,6,5
T32_Bipartit_20,Bipartit,20,0.006196,0.001514,0.000570,9,18,12
T33_Bipartit_30,Bipartit,30,7.330915,0.002635,0.000306,15,28,16
T34_Bipartit_50,Bipartit,50,N/A,0.002701,0.000889,N/A,48,25
T35_Bipartit_100,Bipartit,100,N/A,0.003163,0.000732,N/A,98,50
T36_Bipartit_200,Bipartit,200,N/A,0.003648,0.003666,N/A,196,100
T37_Bipartit_300,Bipartit,300,N/A,0.003151,0.011428,N/A,300,150
T38_Bipartit_400,Bipartit,400,N/A,0.002027,0.017275,N/A,396,205
T39_Bipartit_500,Bipartit,500,N/A,0.001604,0.032579,N/A,498,250
T40_Bipartit_600,Bipartit,600,N/A,0.002411,0.057827,N/A,600,301
T41_Bipartit_700,Bipartit,700,N/A,0.001672,0.093355,N/A,698,350
T42_Bipartit_800,Bipartit,800,N/A,0.001710,0.146404,N/A,798,406
T43_Bipartit_1000,Bipartit,1000,N/A,0.001526,0.276586,N/A,1000,502
T44_Bipartit_1100,Bipartit,1100,N/A,0.001389,0.343010,N/A,1098,551
T45_Bipartit_1200,Bipartit,1200,N/A,0.001694,0.492958,N/A,1198,606
T46_Random_10,Random,10,0.000036,0.002934,0.000615,6,10,6
T47_Random_20,Random,20,0.016741,0.004920,0.000481,15,20,15
T48_Random_30,Random,30,14.481164,0.002588,0.000321,24,30,25
T49_Random_50,Random,50,N/A,0.002691,0.000437,N/A,50,44
T50_Random_100,Random,100,N/A,0.002722,0.000835,N/A,98,92
T51_Random_200,Random,200,N/A,0.003827,0.007371,N/A,198,192
T52_Random_300,Random,300,N/A,0.002629,0.016436,N/A,298,292
T53_Random_400,Random,400,N/A,0.001499,0.025661,N/A,398,390
T54_Random_500,Random,500,N/A,0.001323,0.051331,N/A,498,491
T55_Random_600,Random,600,N/A,0.001795,0.092659,N/A,596,590
T56_Random_700,Random,700,N/A,0.002233,0.145370,N/A,698,690
T57_Random_800,Random,800,N/A,0.002633,0.235050,N/A,798,791
T58_Random_1000,Random,1000,N/A,0.001479,0.480894,N/A,998,991
T59_Random_1100,Random,1100,N/A,0.001495,0.695058,N/A,1098,1088
T60_Random_1200,Random,1200,N/A,0.001753,0.927464,N/A,1198,1188
